Date,Henry Hub
1/10/97,3.79
1/17/97,4.19
1/24/97,2.98
1/31/97,2.91
2/7/97,2.53
2/14/97,2.3
2/21/97,1.91
2/28/97,1.82
3/7/97,1.86
3/14/97,1.96
3/21/97,1.91
3/28/97,1.84
4/4/97,1.88
4/11/97,1.98
4/18/97,2.04
4/25/97,2.14
5/2/97,2.15
5/9/97,2.29
5/16/97,2.22
5/23/97,2.22
5/30/97,2.28
6/6/97,2.17
6/13/97,2.16
6/20/97,2.22
6/27/97,2.27
7/4/97,2.15
7/11/97,2.15
7/18/97,2.24
7/25/97,2.2
8/1/97,2.22
8/8/97,2.37
8/15/97,2.53
8/22/97,2.54
8/29/97,2.58
9/5/97,2.77
9/12/97,2.76
9/19/97,2.85
9/26/97,3.08
10/3/97,3
10/10/97,2.83
10/17/97,2.89
10/24/97,3.21
10/31/97,3.42
11/7/97,3.16
11/14/97,3.25
11/21/97,2.89
11/28/97,2.55
12/5/97,2.51
12/12/97,2.34
12/19/97,2.34
12/26/97,2.21
1/2/98,2.26
1/9/98,2.11
1/16/98,2.05
1/23/98,2.11
1/30/98,2.08
2/6/98,2.28
2/13/98,2.21
2/20/98,2.2
2/27/98,2.22
3/6/98,2.18
3/13/98,2.22
3/20/98,2.23
3/27/98,2.3
4/3/98,2.41
4/10/98,2.57
4/17/98,2.46
4/24/98,2.4
5/1/98,2.23
5/8/98,2.14
5/15/98,2.2
5/22/98,2.13
5/29/98,2.09
6/5/98,2.1
6/12/98,2
6/19/98,2.11
6/26/98,2.38
7/3/98,2.39
7/10/98,2.36
7/17/98,2.21
7/24/98,2.05
7/31/98,1.95
8/7/98,1.86
8/14/98,1.85
8/21/98,1.93
8/28/98,1.81
9/4/98,1.72
9/11/98,1.83
9/18/98,2.07
9/25/98,2.24
10/2/98,2.2
10/9/98,1.99
10/16/98,1.73
10/23/98,1.9
10/30/98,1.89
11/6/98,2.11
11/13/98,2.27
11/20/98,2.12
11/27/98,2.08
12/4/98,1.34
12/11/98,1.6
12/18/98,1.93
12/25/98,1.95
1/1/99,1.84
1/8/99,2
1/15/99,1.81
1/22/99,1.81
1/29/99,1.76
2/5/99,1.79
2/12/99,1.81
2/19/99,1.79
2/26/99,1.7
3/5/99,1.69
3/12/99,1.87
3/19/99,1.75
3/26/99,1.79
4/2/99,1.92
4/9/99,2.04
4/16/99,2.12
4/23/99,2.18
4/30/99,2.3
5/7/99,2.3
5/14/99,2.24
5/21/99,2.27
5/28/99,2.23
6/4/99,2.34
6/11/99,2.37
6/18/99,2.27
6/25/99,2.25
7/2/99,2.29
7/9/99,2.21
7/16/99,2.14
7/23/99,2.29
7/30/99,2.58
8/6/99,2.63
8/13/99,2.75
8/20/99,2.8
8/27/99,2.98
9/3/99,2.69
9/10/99,2.7
9/17/99,2.58
9/24/99,2.42
10/1/99,2.46
10/8/99,2.45
10/15/99,2.67
10/22/99,2.92
10/29/99,2.94
11/5/99,2.75
11/12/99,2.39
11/19/99,2.24
11/26/99,2
12/3/99,2.2
12/10/99,2.21
12/17/99,2.49
12/24/99,2.53
12/31/99,2.33
1/7/00,2.18
1/14/00,2.25
1/21/00,2.46
1/28/00,2.71
2/4/00,2.81
2/11/00,2.67
2/18/00,2.64
2/25/00,2.52
3/3/00,2.7
3/10/00,2.74
3/17/00,2.81
3/24/00,2.77
3/31/00,2.88
4/7/00,2.92
4/14/00,3.03
4/21/00,3.11
4/28/00,3.11
5/5/00,3.15
5/12/00,3.26
5/19/00,3.56
5/26/00,4.04
6/2/00,4.36
6/9/00,4.19
6/16/00,4.3
6/23/00,4.28
6/30/00,4.39
7/7/00,4.15
7/14/00,4.18
7/21/00,3.98
7/28/00,3.72
8/4/00,4.01
8/11/00,4.44
8/18/00,4.33
8/25/00,4.63
9/1/00,4.66
9/8/00,4.82
9/15/00,5.05
9/22/00,5.17
9/29/00,5.21
10/6/00,5.2
10/13/00,5.26
10/20/00,5.17
10/27/00,4.68
11/3/00,4.49
11/10/00,4.96
11/17/00,5.78
11/24/00,6.29
12/1/00,6.18
12/8/00,8.16
12/15/00,8.37
12/22/00,9.86
12/29/00,9.88
1/5/01,9.79
1/12/01,9.57
1/19/01,7.68
1/26/01,7.07
2/2/01,6.23
2/9/01,5.98
2/16/01,5.63
2/23/01,5.13
3/2/01,5.14
3/9/01,5.24
3/16/01,5.12
3/23/01,5.2
3/30/01,5.39
4/6/01,5.27
4/13/01,5.44
4/20/01,5.21
4/27/01,4.99
5/4/01,4.56
5/11/01,4.22
5/18/01,4.31
5/25/01,4.05
6/1/01,3.74
6/8/01,3.79
6/15/01,3.97
6/22/01,3.81
6/29/01,3.3
7/6/01,3
7/13/01,3.19
7/20/01,3.07
7/27/01,3.08
8/3/01,3.21
8/10/01,3.09
8/17/01,3.18
8/24/01,3.04
8/31/01,2.45
9/7/01,2.34
9/14/01,2.4
9/21/01,2.15
9/28/01,1.9
10/5/01,1.96
10/12/01,2.21
10/19/01,2.42
10/26/01,2.86
11/2/01,3.06
11/9/01,2.72
11/16/01,2.16
11/23/01,2.18
11/30/01,2
12/7/01,1.98
12/14/01,2.45
12/21/01,2.4
12/28/01,2.4
1/4/02,2.53
1/11/02,2.38
1/18/02,2.34
1/25/02,2.18
2/1/02,2.18
2/8/02,2.22
2/15/02,2.28
2/22/02,2.38
3/1/02,2.47
3/8/02,2.67
3/15/02,2.92
3/22/02,3.31
3/29/02,3.4
4/5/02,3.54
4/12/02,3.21
4/19/02,3.4
4/26/02,3.5
5/3/02,3.65
5/10/02,3.65
5/17/02,3.57
5/24/02,3.35
5/31/02,3.24
6/7/02,3.24
6/14/02,3.11
6/21/02,3.26
6/28/02,3.43
7/5/02,3.18
7/12/02,2.96
7/19/02,2.9
7/26/02,2.97
8/2/02,3.01
8/9/02,2.78
8/16/02,2.99
8/23/02,3.28
8/30/02,3.33
9/6/02,3.21
9/13/02,3.3
9/20/02,3.71
