Date,Crude Oil
20-Aug-82,609219
27-Aug-82,608741
24-Sep-82,612419
1-Oct-82,612419
8-Oct-82,613985
15-Oct-82,607781
22-Oct-82,617763
29-Oct-82,617335
5-Nov-82,615963
12-Nov-82,609646
19-Nov-82,617599
26-Nov-82,613795
3-Dec-82,622410
10-Dec-82,629452
17-Dec-82,630630
24-Dec-82,627549
31-Dec-82,623364
7-Jan-83,621519
14-Jan-83,634468
21-Jan-83,630862
28-Jan-83,637996
4-Feb-83,633444
11-Feb-83,640679
18-Feb-83,645786
25-Feb-83,654800
4-Mar-83,646180
11-Mar-83,650270
18-Mar-83,645657
25-Mar-83,647475
1-Apr-83,643056
8-Apr-83,648846
15-Apr-83,655356
29-Apr-83,660163
13-May-83,663452
20-May-83,669661
3-Jun-83,661439
10-Jun-83,660809
17-Jun-83,660684
24-Jun-83,661690
1-Jul-83,665523
8-Jul-83,661437
15-Jul-83,660062
22-Jul-83,661544
29-Jul-83,666229
5-Aug-83,664421
12-Aug-83,658793
19-Aug-83,666568
26-Aug-83,674046
2-Sep-83,680678
9-Sep-83,679709
16-Sep-83,683787
23-Sep-83,686492
30-Sep-83,689484
7-Oct-83,692999
14-Oct-83,699225
21-Oct-83,696893
28-Oct-83,690351
4-Nov-83,704161
11-Nov-83,708907
18-Nov-83,705019
25-Nov-83,701334
2-Dec-83,697555
9-Dec-83,706710
16-Dec-83,705916
23-Dec-83,703653
30-Dec-83,705337
6-Jan-84,708734
13-Jan-84,714404
20-Jan-84,711607
27-Jan-84,708756
3-Feb-84,705612
10-Feb-84,705509
17-Feb-84,708374
24-Feb-84,704934
2-Mar-84,704980
9-Mar-84,700691
16-Mar-84,701182
23-Mar-84,698337
30-Mar-84,702304
6-Apr-84,714188
13-Apr-84,717586
20-Apr-84,718835
27-Apr-84,715681
4-May-84,723838
11-May-84,730750
18-May-84,740010
25-May-84,733307
1-Jun-84,742484
8-Jun-84,747383
15-Jun-84,746599
22-Jun-84,740444
29-Jun-84,748609
6-Jul-84,744108
13-Jul-84,750181
20-Jul-84,758675
27-Jul-84,751701
3-Aug-84,756297
10-Aug-84,759664
17-Aug-84,750944
24-Aug-84,754372
31-Aug-84,751064
7-Sep-84,748773
14-Sep-84,748108
21-Sep-84,737364
28-Sep-84,739492
5-Oct-84,743297
12-Oct-84,751690
19-Oct-84,748669
26-Oct-84,754795
2-Nov-84,751015
9-Nov-84,763846
16-Nov-84,773429
23-Nov-84,773912
30-Nov-84,768654
7-Dec-84,766366
14-Dec-84,777877
21-Dec-84,768096
28-Dec-84,771438
4-Jan-85,770428
11-Jan-85,774958
18-Jan-85,780308
25-Jan-85,772083
1-Feb-85,766692
8-Feb-85,763744
15-Feb-85,756182
22-Feb-85,754681
1-Mar-85,758276
8-Mar-85,763336
15-Mar-85,767742
22-Mar-85,771428
29-Mar-85,774415
5-Apr-85,763617
12-Apr-85,766706
19-Apr-85,772102
26-Apr-85,786256
3-May-85,795287
10-May-85,793732
17-May-85,796117
24-May-85,803864
31-May-85,804735
7-Jun-85,802494
14-Jun-85,804732
21-Jun-85,804696
28-Jun-85,799832
5-Jul-85,797353
12-Jul-85,792929
19-Jul-85,794981
26-Jul-85,789271
2-Aug-85,785661
9-Aug-85,791222
16-Aug-85,789594
23-Aug-85,779687
30-Aug-85,786600
6-Sep-85,781785
13-Sep-85,782583
20-Sep-85,777560
27-Sep-85,780424
4-Oct-85,783916
11-Oct-85,791591
18-Oct-85,784206
25-Oct-85,787738
1-Nov-85,780656
8-Nov-85,780274
15-Nov-85,778424
22-Nov-85,782470
29-Nov-85,785197
6-Dec-85,792203
13-Dec-85,788853
20-Dec-85,792841
27-Dec-85,791217
3-Jan-86,798463
10-Jan-86,792572
17-Jan-86,790772
24-Jan-86,799138
31-Jan-86,797385
7-Feb-86,805774
14-Feb-86,801146
21-Feb-86,795347
28-Feb-86,805240
7-Mar-86,809635
14-Mar-86,808349
21-Mar-86,811129
28-Mar-86,819985
4-Apr-86,813207
11-Apr-86,816908
18-Apr-86,814778
25-Apr-86,809669
2-May-86,816069
9-May-86,810120
16-May-86,802132
23-May-86,807720
30-May-86,805047
6-Jun-86,811116
13-Jun-86,799944
20-Jun-86,803586
27-Jun-86,805292
4-Jul-86,801127
11-Jul-86,801002
18-Jul-86,809815
25-Jul-86,813146
1-Aug-86,823410
8-Aug-86,816324
15-Aug-86,815062
22-Aug-86,813333
29-Aug-86,815928
5-Sep-86,811219
12-Sep-86,815806
19-Sep-86,812938
26-Sep-86,819659
3-Oct-86,822132
10-Oct-86,819391
17-Oct-86,826816
24-Oct-86,825240
31-Oct-86,835276
7-Nov-86,823166
14-Nov-86,828077
21-Nov-86,826852
28-Nov-86,830304
5-Dec-86,827450
12-Dec-86,830737
19-Dec-86,828638
26-Dec-86,817598
2-Jan-87,819387
9-Jan-87,828882
16-Jan-87,819732
23-Jan-87,817272
30-Jan-87,823390
6-Feb-87,823679
13-Feb-87,823320
20-Feb-87,824014
27-Feb-87,827982
6-Mar-87,827072
13-Mar-87,823961
20-Mar-87,831803
27-Mar-87,826956
3-Apr-87,834010
10-Apr-87,828837
17-Apr-87,820369
24-Apr-87,819417
1-May-87,829550
8-May-87,825486
15-May-87,823633
22-May-87,827225
29-May-87,824387
5-Jun-87,826689
12-Jun-87,827429
19-Jun-87,828312
26-Jun-87,831226
3-Jul-87,832132
10-Jul-87,830849
17-Jul-87,827036
24-Jul-87,830873
31-Jul-87,836747
7-Aug-87,831468
14-Aug-87,833262
21-Aug-87,840508
28-Aug-87,841422
4-Sep-87,845465
11-Sep-87,845005
18-Sep-87,845642
25-Sep-87,849438
2-Oct-87,848080
9-Oct-87,844855
16-Oct-87,847983
23-Oct-87,851818
30-Oct-87,864201
