State,Year,taxRate,incentive,evregister,totalregister,avgIncome,popDensity
Alabama,2016,18,0,500,2284443,53314,
Alaska,2016,8,0,200,183259,85494,
Arizona,2016,18,0,4700,2377962,64468,
Arkansas,2016,21.5,0,200,942604,51830,
California,2016,30,1,141500,14768392,75235,
Colorado,2016,22,0,5300,1807777,79671,
Connecticut,2016,25,1,2000,1352381,85720,
Deleware,2016,23,1,300,447007,65536,
District of Columbia,2016,24,0,600,206833,80141,
Florida,2016,17,0,11600,7855250,57779,
Georgia,2016,26,0,18000,3538180,60434,
Hawaii,2016,16,0,4200,516544,81440,
Idaho,2016,33,0,400,607902,63863,
Illinois,2016,19,0,5800,4524709,69307,
Indiana,2016,18,0,1300,2330172,63332,
Iowa,2016,31.7,0,400,1303131,66719,
Kansas,2016,24,0,600,980359,64140,
Kentucky,2016,25,0,500,1713590,51223,
Lousiana,2016,20,0,400,1425349,47641,
Maine,2016,30,1,300,409229,57418,
Maryland,2016,34,1,3200,1976021,83277,
Massachusets,2016,24,1,3600,2305471,81591,
Michigan,2016,19,0,1600,3248359,64458,
Minnesota,2016,28.5,0,1600,2081723,79278,
Mississippi,2016,18,0,100,840737,46402,
Missouri,2016,17,0,1400,2247914,62115,
Montana,2016,28,0,200,441201,64440,
Nebraska,2016,26.7,0,300,700277,67035,
Nevada,2016,24,0,2000,1047362,62583,
New Hampshire,2016,24,0,400,529491,86100,
New Jersey,2016,38,1,4200,2847881,77303,
New Mexico,2016,17,0,500,661197,54703,
New York,2016,25,1,6100,4890916,69364,
North Carolina,2016,34,0,2900,3546363,60701,
North Dakota,2016,23,0,0,243338,67950,
Ohio,2016,28,0,2600,4693947,60951,
Oklahoma,2016,17,0,600,1379222,57516,
Oregon,2016,30,1,7700,1483576,66765,
Pennsylvania,2016,50,0,3200,4640471,68847,
Rhode Island,2016,33,1,300,436247,69467,
South Carolina,2016,16,1,800,1840357,61347,
South Dakota,2016,28,0,100,364576,64863,
Tennessee,2016,20,0,2600,2347806,57969,
Texas,2016,20,1,11900,8287254,65649,
Utah,2016,29,1,2500,940604,76188,
Vermont,2016,31,1,300,229570,68687,
Virginia,2016,16,0,3100,3242520,75025,
Washington,2016,49.4,1,14900,2935656,79382,
West Virginia,2016,33.2,0,100,584599,50077,
Wisconsin,2016,30.9,0,2600,2159924,67535,
Wyoming,2016,24,0,100,211613,65291,
Alabama,2017,18,0,800,2065463,56219,
Alaska,2017,8,0,400,173487,86196,
Arizona,2017,18,1,7200,2391624,65984,
Arkansas,2017,21.5,0,300,926789,54988,
California,2017,42,1,189700,14860967,77410,
Colorado,2017,22,1,8000,1785058,82877,
Connecticut,2017,25,1,3000,1302339,82125,
Deleware,2017,23,1,400,419199,71799,
District of Columbia,2017,24,1,800,208141,89838,
Florida,2017,17,0,15900,7778493,58674,
Georgia,2017,26,0,14400,3536055,64089,
Hawaii,2017,16,0,5400,512386,81346,
Idaho,2017,33,1,700,550006,65760,
Illinois,2017,19,0,8300,4655844,72913,
Indiana,2017,29,0,1900,2261440,64953,
Iowa,2017,31.5,0,600,1268996,70148,
Kansas,2017,24,0,1000,987259,62889,
Kentucky,2017,25,0,700,1691085,54901,
Lousiana,2017,20,0,600,1389436,48151,
Maine,2017,30,1,500,387233,58928,
Maryland,2017,34,1,4400,2006904,90734,
Massachusets,2017,24,1,5600,2208468,84269,
Michigan,2017,26,0,2500,3257473,62342,
Minnesota,2017,28.5,1,2300,2146187,77341,
Mississippi,2017,18,0,200,822864,47837,
Missouri,2017,17,0,2100,2141050,62481,
Montana,2017,32,1,300,441392,63450,
Nebraska,2017,27.9,0,500,677040,65855,
Nevada,2017,24,1,3100,1047508,64151,
New Hampshire,2017,24,1,600,505381,83591,
New Jersey,2017,37,1,6900,2798699,78739,
New Mexico,2017,17,1,700,609494,50401,
New York,2017,24,1,9400,4563035,68021,
North Carolina,2017,35,0,4400,3317918,54762,
North Dakota,2017,23,0,100,276545,66500,
Ohio,2017,28,0,3700,4605459,67076,
Oklahoma,2017,17,0,1200,1337624,57343,
Oregon,2017,30,1,10000,1542461,69077,
